Date,HE,MWh
1/2/2019,3,11045.95
1/2/2019,4,11164.15
1/2/2019,5,11592.62
1/2/2019,6,12692.28
1/2/2019,7,14279.33
1/2/2019,8,15390.04
1/2/2019,9,15296.03
1/2/2019,10,14725.42
1/2/2019,11,14298.46
1/2/2019,12,14061.67
1/2/2019,13,13877.33
1/2/2019,14,14126.62
1/2/2019,15,14611.45
1/2/2019,16,15286.67
1/2/2019,17,16422.56
1/2/2019,18,17416.44
1/2/2019,19,17350.96
1/2/2019,20,16943.27
1/2/2019,21,16268.05
1/2/2019,22,15240.27
1/2/2019,23,13913.04
1/2/2019,24,12868.6
1/3/2019,1,12558.19
1/3/2019,2,12233.35
1/3/2019,3,12196.05
1/3/2019,4,12177.78
1/3/2019,5,12325.39
1/3/2019,6,13177.2
1/3/2019,7,14313.67
1/3/2019,8,15339.98
1/3/2019,9,15457.75
1/3/2019,10,15238.49
1/3/2019,11,14620.62
1/3/2019,12,14108.48
1/3/2019,13,13995.24
1/3/2019,14,14074.81
1/3/2019,15,14333.64
1/3/2019,16,14809.68
1/3/2019,17,15802.92
1/3/2019,18,16765.89
1/3/2019,19,16694.68
1/3/2019,20,16275.2
1/3/2019,21,15636.66
1/3/2019,22,14654.38
1/3/2019,23,13419.87
1/3/2019,24,12371.56
1/4/2019,1,11891.66
1/4/2019,2,11724.88
1/4/2019,3,11542.97
1/4/2019,4,11534.38
1/4/2019,5,11659.77
1/4/2019,6,12625.65
1/4/2019,7,14090.69
1/4/2019,8,15067.36
1/4/2019,9,14887.39
1/4/2019,10,14311.47
1/4/2019,11,13924.32
1/4/2019,12,13640.96
1/4/2019,13,13408.14
1/4/2019,14,13644.45
1/4/2019,15,13963.84
1/4/2019,16,14378.57
1/4/2019,17,15321.11
1/4/2019,18,16056.8
1/4/2019,19,15835.17
1/4/2019,20,15368.94
1/4/2019,21,14804.36
1/4/2019,22,14060.05
1/4/2019,23,13076.75
1/4/2019,24,12289.17
1/5/2019,1,11585.34
1/5/2019,2,11104.61
1/5/2019,3,10830.91
1/5/2019,4,10746.5
1/5/2019,5,11115.2
1/5/2019,6,11250.8
1/5/2019,7,11862.74
1/5/2019,8,12382.16
1/5/2019,9,13147.03
1/5/2019,10,13783.65
1/5/2019,11,14092.39
1/5/2019,12,14194.48
